timestamp,title,asin,consumptionDurationMs,terminationReason,deviceType,musicTerritory,isShufflePlay,titleSetAsin,trackLengthMs,artistAsin,selectionSourceArtistAsin
2018-12-27 06:23:23 GMT,Return to Pooh Corner,B004IY3NUI,253000,userStop,A2CZFJ2RKY7SE2,DE,false,B01LLWKYV0,254000,B001Q99244,
2018-12-26 22:12:57 GMT,"I'm Alright (Theme from ""Caddyshack"")",B004IY1UBC,226000,trackFinished,A2CZFJ2RKY7SE2,DE,false,B077W6SKQP,226000,B001Q99244,
2018-12-26 22:07:13 GMT,Meet Me Half Way,B004IY3NR6,219000,trackFinished,A2CZFJ2RKY7SE2,DE,false,B01LLWKYOW,219000,B001Q99244,
2018-12-26 22:03:37 GMT,Danger Zone,B004IY3NQ2,215000,trackFinished,A2CZFJ2RKY7SE2,DE,false,B077VZ25KY,215000,B001Q99244,
2018-12-26 13:00:48 GMT,Blackbird,B001SWQ1CU,65000,userStop,A2CZFJ2RKY7SE2,DE,false,,0,,
2018-12-26 12:43:25 GMT,Ties That Bind (Album Version),B001SWH3AE,5000,userStop,A2CZFJ2RKY7SE2,DE,false,,0,,
2018-12-25 17:57:35 GMT,Hello Dolly,B01166R5OA,168000,userStop,A2CZFJ2RKY7SE2,DE,false,B0115PHXG2,199000,B01166DU0I,
2018-12-25 17:54:45 GMT,Hello Dolly,B01166R5OA,2000,userStop,A2CZFJ2RKY7SE2,DE,false,B0115PHXG2,199000,B001R7H6TI,
2018-12-25 17:13:29 GMT,Ecstasy,B00XKHIH3M,29000,userStop,A2CZFJ2RKY7SE2,DE,false,,0,,
2018-12-25 17:12:58 GMT,Nobody,B009QJUGMS,26000,userStop,A2CZFJ2RKY7SE2,DE,false,B009QD0HYQ,310000,B008YPZDV4,
2018-12-25 17:12:33 GMT,Realitricked Me,B009QJUG2I,2000,userStop,A2CZFJ2RKY7SE2,DE,false,B01NB9DN42,451000,B008YPZDV4,
2018-12-25 17:12:28 GMT,Atemlos durch die Nacht,B00F9CIGP0,19000,userStop,A2CZFJ2RKY7SE2,DE,false,B077XYS6QW,219000,B001QWO6BU,
2018-12-25 17:12:04 GMT,Atemlos durch die Nacht,B00F9CIGP0,3000,userStop,A2CZFJ2RKY7SE2,DE,false,B077XYS6QW,219000,B001QWO6BU,
2018-12-25 09:42:30 GMT,"Knowing Me, Knowing You",B001SQ1IC4,56000,userStop,A2CZFJ2RKY7SE2,DE,false,B01LWAU42D,241000,B001Q5AGC0,
2018-12-25 08:00:47 GMT,All,B016SA394E,21000,userStop,A2CZFJ2RKY7SE2,DE,false,B016LSC8X6,281000,B001T2HNY4,
2018-12-24 23:44:10 GMT,Aeromancy,B016SA36FQ,281000,trackFinished,A2CZFJ2RKY7SE2,DE,false,B016LSC2IW,281000,B001T2HNY4,
2018-12-24 23:39:30 GMT,Aeromancy,B016SA36FQ,1000,userStop,A2CZFJ2RKY7SE2,DE,false,B016LSC2IW,281000,B001T2HNY4,
2018-12-24 23:38:02 GMT,Satisfied,B001SVGO7I,171000,userStop,A2CZFJ2RKY7SE2,DE,false,B073H1T3QK,241000,B001Q5APGM,
2018-12-24 21:05:07 GMT,Music,B001SVOBDW,354000,trackFinished,A2CZFJ2RKY7SE2,DE,false,B07F8BQPQ5,354000,B001Q5APGM,
2018-12-24 20:02:27 GMT,Rooftop,B075TW1VDM,150000,userStop,A2CZFJ2RKY7SE2,DE,false,B0768SQZ2T,196000,B00GMZJ0CQ,
2018-12-24 19:59:56 GMT,Perfect,B01MR4Q583,263000,trackFinished,A2CZFJ2RKY7SE2,DE,false,B01MUHRCO9,263000,B001SYS7H0,
2018-12-24 19:55:31 GMT,White Christmas,B005CSSAIY,43000,userStop,A2CZFJ2RKY7SE2,DE,false,B078BXQ2MJ,183000,B001Q55PC6,
2018-12-24 19:31:51 GMT,No Love Dying,B015UN2388,103000,userStop,A2CZFJ2RKY7SE2,DE,false,,0,,
2018-12-20 14:19:56 GMT,Puppet Show,B071DPM43B,0,trackFinished,A16ZV8BU3SN1N3,DE,false,B074Y2DHK1,263000,B001Q59AUE,
2018-12-20 14:16:22 GMT,Tsar Bomba [Explicit],B0716CS2NZ,0,trackFinished,A16ZV8BU3SN1N3,DE,false,B074XXZSHS,213000,B001Q59AUE,
2018-12-20 14:11:17 GMT,Murderer [Explicit],B071H95LDV,0,trackFinished,A16ZV8BU3SN1N3,DE,false,B074Y8MCQ8,303000,B001Q59AUE,
2018-12-20 14:05:12 GMT,Bloody Angel,B072P1N6C2,0,trackFinished,A16ZV8BU3SN1N3,DE,false,B074Y2PHPL,364000,B07KY2LKGF,
2018-12-20 14:05:11 GMT,Vultures Fly [Explicit],B071DPLPG4,279000,trackFinished,A16ZV8BU3SN1N3,DE,false,B074Y7DDYP,278000,B001Q59AUE,
2018-12-20 13:56:10 GMT,Death of Sound,B072BBG4Q9,0,trackFinished,A16ZV8BU3SN1N3,DE,false,B074XW4XTJ,261000,B001Q59AUE,
2018-12-20 13:51:15 GMT,What I Don't Know,B071NGT189,0,trackFinished,A16ZV8BU3SN1N3,DE,false,B074Y15F8R,293000,B001Q59AUE,
2018-12-20 13:51:15 GMT,Hail the Apocalypse [Explicit],B0716CQ3MW,239000,trackFinished,A16ZV8BU3SN1N3,DE,false,B072PPYQFP,253000,B001Q59AUE,
2018-12-20 13:51:15 GMT,Hail the Apocalypse [Explicit],B0716CQ3MW,239000,trackFinished,A16ZV8BU3SN1N3,DE,false,B072PPYQFP,253000,B001Q59AUE,B001Q59AUE
